"Common Goldeneye",1550,1364,621,1141,1630,1797,5792,2024,2022,1882,2726,3261,1775,2630,1570,3258,3133,1608,10456,4300,2117,983,1143,1727,407,34,23,230,139,132,50,131,52,190,176,335,625,170,135,430,56,47,62,90,89,90,170,130,100,100,180,100,220,110,85,347,213,175,179,118,145,350,715,405,244,182,257,318,185,150,59,91,211,51,410,442,134,280,270,254,70,235,75,99,266,165,30,66,0,0,0,0
"Barrow's Goldeneye",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hooded Merganser",189,139,83,157,53,70,55,53,70,50,54,67,56,54,65,26,37,37,38,20,12,11,11,8,15,3,6,2,9,21,13,4,3,0,1,6,2,6,4,7,5,9,1,1,15,8,0,0,2,0,1,3,2,2,3,0,0,"cw",1,1,0,3,33,18,3,2,3,5,3,3,0,2,2,0,16,0,49,4,0,0,"cw",0,0,0,2,0,0,0,0,0,0,0
"Common Merganser",191,1079,501,827,178,1200,527,3202,1405,213,1935,1197,967,1302,315,1183,1120,446,1888,1248,1772,780,305,470,1567,1038,12,227,479,1218,1601,2015,1545,2774,9000,600,2270,6800,650,5600,680,1100,830,2000,2600,3200,3400,6300,1300,830,710,5100,5000,1500,6000,1200,4050,207,2000,1940,512,670,6300,2000,1400,1240,106,703,1500,470,350,419,220,6,239,840,210,452,300,16,60,130,70,480,2,5,0,7,0,0,0,0
"Red-breasted Merganser",195,148,420,334,252,152,589,502,331,260,196,102,70,138,40,82,80,221,74,23,47,56,22,24,23,31,11,28,57,23,7,90,10,11,16,18,9,1,6,61,13,18,4,2,21,5,2,19,8,7,14,36,18,9,7,59,21,17,74,40,1,285,51,47,14,8,2,130,200,6,3,12,21,4,88,45,53,11,2,1,6,0,"cw",17,"cw",0,0,0,0,0,0,0
"Ruddy Duck",234,39,41,543,630,450,423,882,602,650,850,224,391,383,322,164,137,31,59,28,1,1,0,0,0,1,0,4,13,12,1,0,1,7,5,0,4,2,0,3,2,0,2,3,2,1,0,0,0,0,0,0,1,5,0,2,0,0,1,5,1,12,7,0,1,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"duck sp.",505,500,5001,1023,8000,600,643,15,5001,10001,251,12,32,500,4000,10000,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,30,0,1,0,2,0
"Northern Bobwhite",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ring-necked Pheasant",0,0,0,0,"cw",2,0,9,2,2,0,2,0,1,0,1,0,1,3,2,6,4,1,0,2,3,5,5,8,9,18,15,17,35,39,63,13,16,60,99,35,116,62,69,150,190,350,320,110,280,160,83,170,150,140,180,56,89,54,40,36,41,26,14,38,18,6,16,10,7,3,62,21,109,133,166,90,230,26,67,112,8,12,22,4,6,15,1,0,0,0,0
"Gray Partridge",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,3,6,9,0,0,0,1,23,23,10,14,4,5,4,5,0,0,0,0,7,0,0,0,1,0,5,15,9,51,0,27,4,28,37,0,0,0,0,0,0,0,0,0,0,0
"Ruffed Grouse",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,3,1,1,4,5,12,11,9,18,9,10,10,18,13,15,38,25,31,12,11,5,27,11,3,27,13,4,2,22,8,9,3,7,4,8,9,10,10,9,14,3,5,15,15,3,13,11,13,8,9,4,11,13,4,49,33,40,68,18,22,2,7,7,2,1,3,0,1,0,0,0,1
"Wild Turkey",24,76,89,98,16,66,30,59,19,28,51,20,6,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red-throated Loon",0,0,1,0,0,0,"cw","cw",1,1,0,0,2,"cw",0,0,0,0,0,0,0,0,0,0,0,0,0,"cw",0,0,0,1,0,0,0,0,0,0,0,0,"cw",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"cw",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pacific Loon",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Common Loon",7,5,0,3,9,0,2,2,4,1,4,1,1,0,7,0,0,1,6,1,1,3,0,2,3,2,0,3,3,4,0,3,1,0,2,1,1,1,0,0,1,0,0,"cw",1,0,2,0,0,0,0,0,2,0,1,"cw",0,0,0,2,1,0,2,1,0,0,1,1,0,2,0,0,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"loon sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pied-billed Grebe",1,0,0,2,1,1,3,1,2,3,7,0,4,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"cw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Horned Grebe",1,1,"cw",0,1,0,0,1,0,"cw",0,"cw",0,1,0,1,0,1,1,0,0,0,0,"cw",0,0,0,0,8,0,1,0,0,0,2,0,3,0,1,1,1,1,"cw",3,0,1,0,2,4,2,1,4,9,0,5,5,2,"cw",5,6,2,3,8,1,0,2,6,0,0,1,1,3,0,0,3,4,2,1,0,2,0,3,3,2,2,1,2,0,0,0,0,0
"Red-necked Grebe",4,0,"cw",0,1,0,2,16,7,5,1,5,13,"cw",0,0,0,0,4,1,0,3,0,0,0,0,0,"cw",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"cw",0,0,0,0,0,0,0,0,2,0,0,0,"cw",0,1,0,0,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
